,实验屈服值,实验抗拉值,实验伸长率,year,brand,0,1,2,3,4,5,6,7,8
0,299,456,35.5,1,0,1.742750599635199,-0.447675145666271,-0.13370004103565797,0.321627733208074,0.25406947266714297,0.6958830447843943,-0.702577023818057,0.31440230903934696,-0.1100866579312765
1,301,444,40.0,1,0,-1.167161435174347,0.29122661797541904,0.8378569335078312,-1.0808170906497254,0.18305053839392854,-1.8549945069283609,0.4201327005436399,-1.2821511532782903,-0.7664585677931799
2,314,453,34.0,1,0,2.3734639203805328,1.2141074509275953,0.04454891402330613,-0.04518436463921367,-1.1646497492732433,0.1508009327158615,1.3801499853058845,0.8073660698649695,-0.5012036291269151
3,270,439,36.0,1,0,3.054789730313468,-2.1070664592414214,-0.8989417287291546,-0.2815214035003459,0.803524632595471,-0.22245159267172798,0.45297946390598604,0.770539707203896,-0.6996302734619205
4,313,455,38.5,2,0,-1.4456816571101685,-1.5648773637239766,-0.6028390519627264,-0.23277961575493494,-0.9905896948825517,-0.8065814212724719,-0.2116343965033282,-0.964142822684671,0.3117288222778831
5,337,459,37.0,2,0,-1.7196670231486788,-1.3969769938518286,-0.7893602649017103,0.054598172970552625,-0.9448279101285875,-0.8425304410181508,-0.1148271975132277,-0.9562948535168752,0.44641417014464946
6,334,455,36.5,2,0,-1.1197450159583417,-1.2805459555744625,-0.14111307528770484,0.7887617428991306,-2.4264829974899444,-0.6323426034279784,0.751565474463172,1.129544682070047,1.0218811543928952
7,293,439,33.5,2,0,1.1412688085463447,-2.292755358391091,0.3500317893878816,0.22300377761904272,-2.445439530468595,-0.7307240281879203,0.19537407198012552,1.2445928370861707,0.4024100448268552
8,291,431,35.0,2,0,0.964142363695355,-2.227785830911188,0.4577036675800511,-0.0030125044767252878,-2.4820983453996233,-0.7080423174700956,0.24320864461893438,1.1454890592591391,0.4040215180037763
9,339,453,35.0,2,0,-0.4347886389445391,-0.6365143799936005,0.23239160540906392,-0.09607535368695619,-1.1281223606016308,0.15852490100630098,0.9497601622754916,1.91907755885551,0.0224307243657082
10,319,447,42.5,2,0,0.2124729240737229,-0.8505276911580443,0.14541867617032891,0.076485706809642,-1.104599497024243,0.10661185551786087,0.9707466094384675,2.130254252548649,0.03678868638578438
11,260,436,36.0,2,0,1.7727161710778074,-1.5736453478509105,0.18132167208286495,0.496120830659861,-0.6695207221007994,-0.07462639076268276,0.6003950483931998,1.9952932074612284,0.09224056783249247
12,324,466,28.0,2,0,0.7334032578443783,-0.7888404354430909,1.6412892028097699,-0.7760248401716584,0.8310872241892859,-1.1154705097202606,-0.5165888255437999,2.4458256391236497,0.21888215450009985
13,336,450,42.0,2,0,-1.201479736943784,0.1758394148114084,-4.00145513660251,4.442456985832191,-0.25037825542660114,-1.7399378259293445,-0.4933656284909387,1.8164635160946538,0.18855605394642327
14,306,438,37.0,2,0,-0.5905149830225039,-0.22097870359000077,-0.40870705790210254,-2.6283458462331515,-0.9633924081940078,-0.6155168478092858,0.3180454097363171,0.9709421311254566,0.05399541707110034
15,286,446,36.5,2,0,0.38730103966479945,1.112264039363073,-1.2144415810894107,0.7543764587123615,-0.7945273590393632,1.0477785351432118,1.1898108253902064,1.624640502508503,0.5868585442833687
16,325,454,35.5,2,0,-0.9686899640974445,0.32648859894912097,-1.2409944735832341,0.06864600350306742,0.05272626998180158,-1.3655491770147017,-0.6271347079492661,-0.3232332972895521,0.3243779515219671
17,322,451,37.0,2,0,-0.9686899640974442,0.32648859894912097,-1.2409944735832341,0.06864600350306742,0.05272626998180158,-1.3655491770147017,-0.6271347079492661,-0.3232332972895521,0.3243779515219671
18,271,452,33.5,2,0,3.2452410608732096,-1.27687757878781,-0.9923538812904161,0.4013837827191845,-0.24249715323408372,-0.10422437040330218,0.5132091083429425,-0.21385796554990327,-0.8204910027303668
19,350,468,33.5,2,0,-0.3639609514149209,0.3112911033169606,-0.7413446813523208,-1.0532100861912008,-1.0562988493375394,0.3949211088855487,1.6486873255786076,-0.39594167137142716,-0.26272280543027177
20,313,453,31.0,2,0,-0.7450849457768209,-0.8635036782622569,-0.6471277376840214,-1.0020951125157798,0.8968220500891118,-0.41740814105102986,-1.051144264164136,-1.2009107526396703,-0.03472547275421728
21,305,430,36.0,2,0,0.8838570856120085,-2.8618308480882115,-1.7997470464581045,-1.2567040444197206,0.0951373998825911,1.4165698619805915,-0.12525740604676794,0.07527102350475125,-0.17371553842421997
22,275,415,40.0,2,0,-0.7930214836389702,-2.072262140720099,-2.1077355078670057,-1.0039640318808418,0.010683047197447199,1.4663487978401066,0.24962640234653882,-0.017206103891932546,0.11600949763426441
23,309,450,34.0,2,0,0.9509717839042559,-1.7665035791282204,0.15941449734067256,-0.44979390070552366,-1.767785310145962,0.1498468475109024,-0.3554201135765477,1.1237525651647673,0.49913852250707413
24,321,456,35.5,2,0,0.8633338221737377,-1.7183148469309375,-0.08750892247569252,0.08970557683781881,-1.590193218197649,0.08908010616150168,-0.41379439483677916,1.041974365818808,0.7365227941027345
25,311,445,33.0,2,0,0.5538001225703428,-1.7055462625078346,-0.07112723255422757,0.0036989887621958067,-1.5381480162316312,-0.3461268465240384,0.10037398212588272,-0.5466853189377646,0.6096341533661292
26,285,429,36.0,2,0,1.3731715193395246,-2.0979163845252113,0.06987121039601127,-0.0023177250753334683,-1.3279912594531962,-0.43258377907974216,-0.05812864029495385,-0.7055146562403398,0.6211941790039072
