,材料,试批号,实验屈服值,实验抗拉值,实验伸长率,牌号,钢种,出炉温度,加热时间,板坯厚度,中间坯厚度,粗轧压下率,精轧开轧温度,终轧温度,成品厚度,粗轧压缩比,精轧压缩比,C,Si,Mn,AlT,Nb,V,Ti,Ni,Cu,Cr,Mo,P,S,Ceq,Pcm,温度差
24,1128P78600,1LL007965900,344,473,23.5,SS400,DA4B8200,1195,14588,264,80,0.288,951,842,18.4,3.3,4.348,0.17,0.13,0.57,0.028,0.002,0,0.002,0.03,0.04,0.04,0.01,0.015,0.0041,0.279666667,0.787,109
25,1131Q30600,1LL008624200,364,476,25,SS400,ZF4H6100,1202,13144,264,70,0.241,985,824,13.35,3.771,5.243,0.16,0.12,0.53,0.029,0.002,0,0.001,0.01,0.03,0.02,0.01,0.007,0.004,0.257,0.725666667,161
26,1204K14400,1LL008626000,314,446,29,SS400,ZF4H6100,1190,12394,264,90,0.193,886,848,31.4,2.933,2.866,0.15,0.13,0.52,0.026,0.001,0,0.003,0.02,0.03,0.06,0,0.016,0.0029,0.252,0.707333333,38
27,1204K24G00,1LL009624800,346,464,21.5,SS400,ZF4H6100,1215,12555,264,70,0.23,1111,838,9.5,3.771,7.368,0.16,0.12,0.55,0.028,0.001,0,0.002,0.02,0.03,0.04,0.01,0.022,0.0074,0.265,0.746666667,273
28,1204K31G00,1LL009624900,364,470,19.5,SS400,ZF4H6100,1208,12573,264,69.99,0.23,1095,821,9.5,3.772,7.367,0.16,0.12,0.55,0.028,0.001,0,0.002,0.02,0.03,0.04,0.01,0.022,0.0074,0.265,0.746666667,274
29,1204K47800,1LL009625700,319,442,22,SS400,ZF4H6100,1184,12433,264,70,0.244,1013,853,13.5,3.771,5.185,0.16,0.11,0.54,0.024,0.001,0,0.002,0.01,0.03,0.02,0.01,0.011,0.0035,0.258666667,0.735333333,160
30,1206K73300,1LL010133100,330,440,26,SS400,ZF4H7100,1192,13347,264,90,0.253,886,848,36.3,2.933,2.479,0.14,0.09,0.63,0.037,0,0,0.002,0.02,0.04,0.03,0.01,0.015,0.0064,0.257,0.815166667,38
31,1206L94800,1LL010229400,404,458,21.5,SS400,ZF4H6100,1189,12906,264,69.99,0.241,999,814,13.35,3.772,5.243,0.15,0.11,0.51,0.034,0.001,0,0.002,0.01,0.02,0.04,0,0.018,0.006,0.245,0.685666667,185
32,1207P70600,1LL011017500,327,450,28.5,SS400,ZA4D6100,1165,12768,264,70,0.234,963,831,21.7,3.771,3.226,0.18,0.14,0.26,0.038,0,0,0.001,0.01,0.03,0.05,0.01,0.021,0.0061,0.238,0.477833333,132
33,1207R62800,1LL011158300,324,457,29,SS400,ZF4H6100,1190,11472,264,69.99,0.254,973,843,21.9,3.772,3.196,0.16,0.11,0.53,0.026,0.001,0,0.001,0.02,0.03,0.03,0,0.013,0.0051,0.257666667,0.725166667,130
34,1211K14700,1LL012153900,376,475,25.5,SS400,ZA4D6100,1149.5,12649,264,59.99,0.287,925,844,20.14,4.401,2.979,0.16,0.19,0.38,0.026,0,0,0.002,0.02,0.03,0.04,0.01,0.013,0.0046,0.236666667,0.579,81
35,1211K17700,1LL012154000,363,473,23,SS400,ZA4D6100,1181,12766,264,60,0.306,924,844,19.7,4.4,3.046,0.16,0.19,0.38,0.026,0,0,0.002,0.02,0.03,0.04,0.01,0.013,0.0046,0.236666667,0.579,80
36,1211K18800,1LL012154100,340,444,26,SS400,ZA4D6100,1178,12917,264,70,0.254,923,850,21.7,3.771,3.226,0.16,0.19,0.38,0.026,0,0,0.002,0.02,0.03,0.04,0.01,0.013,0.0046,0.236666667,0.579,73
37,1211K22800,1LL012154200,349,454,26.5,SS400,ZA4D6100,1175,12909,264,70,0.257,924,843,21.7,3.771,3.226,0.16,0.19,0.38,0.026,0,0,0.002,0.02,0.03,0.04,0.01,0.013,0.0046,0.236666667,0.579,81
38,1211K24800,1LL012154700,354,453,25,SS400,ZA4D6100,1180,12869,264,69.99,0.258,925,849,21.7,3.772,3.225,0.16,0.18,0.37,0.037,0.001,0,0.002,0.02,0.03,0.07,0.01,0.011,0.0062,0.241,0.570166667,76
39,1211K27800,1LL012154800,356,455,25,SS400,ZA4D6100,1170,12850,264,69.99,0.257,924,853,21.7,3.772,3.225,0.16,0.18,0.37,0.037,0.001,0,0.002,0.02,0.03,0.07,0.01,0.011,0.0062,0.241,0.570166667,71
40,1211K31800,1LL012154900,334,447,27.5,SS400,ZA4D6100,1178,12938,264,70,0.255,923,850,21.7,3.771,3.226,0.16,0.18,0.37,0.037,0.001,0,0.002,0.02,0.03,0.07,0.01,0.011,0.0062,0.241,0.570166667,73
