,材料,试批号,实验屈服值,实验抗拉值,实验伸长率,牌号,钢种,出炉温度,加热时间,板坯厚度,中间坯厚度,粗轧压下率,精轧开轧温度,终轧温度,成品厚度,粗轧压缩比,精轧压缩比,C,Si,Mn,AlT,Nb,V,Ti,Ni,Cu,Cr,Mo,P,S,Ceq,Pcm,温度差
366,1321P30600,1LL024739800,350,471,36.5,AB/A,ZF4H6100,1149.5,12121,264,80,0.213,1092,830,10.39,3.3,7.7,0.16,0.16,0.54,0.032,0.002,0,0.002,0.01,0.03,0.02,0,0.016,0.0062,0.256666667,0.736333333,262
367,1321M70320,1LL024796900,328,447,32.5,AB/A,ZF4H7100,1194,12421,264,60,0.331,939,784,17.2,4.4,3.488,0.14,0.11,0.63,0.036,0.002,0,0.001,0.02,0.03,0.05,0.01,0.017,0.0131,0.260333333,0.806833333,155
368,1321N54100,1LL024802800,346,463,33.5,AB/A,ZF4H6100,1189,12636,264,69.99,0.243,1011,797,12.2,3.772,5.737,0.18,0.12,0.53,0.038,0.001,0,0.001,0.02,0.03,0.04,0,0.019,0.0114,0.279666667,0.746,214
369,1321N53600,1LL024802900,362,473,33,AB/A,ZF4H6100,1191,12683,264,70,0.243,1015,796,12.2,3.771,5.738,0.18,0.12,0.53,0.038,0.001,0,0.001,0.02,0.03,0.04,0,0.019,0.0114,0.279666667,0.746,219
370,1321P30700,1LL024803900,329,453,43,AB/A,ZF4H6100,1149.5,12121,264,80,0.213,1092,830,10.39,3.3,7.7,0.16,0.16,0.54,0.032,0.002,0,0.002,0.01,0.03,0.02,0,0.016,0.0062,0.256666667,0.736333333,262
371,1321P30800,1LL024804900,334,466,44,AB/A,ZF4H6100,1149.5,12121,264,80,0.213,1092,830,10.39,3.3,7.7,0.16,0.16,0.54,0.032,0.002,0,0.002,0.01,0.03,0.02,0,0.016,0.0062,0.256666667,0.736333333,262
372,1323R42400,1LL025021000,413,507,33.5,AB/A,EF4R5100,1174,12294,264,70,0.237,931,820,20.2,3.771,3.465,0.15,0.19,0.93,0.034,0.011,0.001,0.015,0.02,0.04,0.09,0.02,0.018,0.0035,0.3312,1.132266667,111
373,1323R42400,1LL025021300,381,494,34.5,AB/A,EF4R5100,1174,12294,264,70,0.237,931,820,20.2,3.771,3.465,0.15,0.19,0.93,0.034,0.011,0.001,0.015,0.02,0.04,0.09,0.02,0.018,0.0035,0.3312,1.132266667,111
374,1324K46A00,1LL025026900,319,448,37,AB/A,ZF4H6100,1196,11586,264,69.99,0.277,1049,819,10.2,3.772,6.862,0.17,0.09,0.53,0.036,0,0,0.002,0.02,0.03,0.03,0.01,0.013,0.0051,0.269666667,0.735166667,230
375,1324P81200,1LL025229600,335,465,31.5,AB/A,EF4R5200,1171,13380,222,89.99,0.268,927,855,30.3,2.467,2.97,0.17,0.18,1.09,0.028,0.002,0.002,0.003,0.02,0.03,0.03,0.01,0.017,0.0038,0.3634,1.298366667,72
376,1324P81200,1LL025229700,328,462,34,AB/A,EF4R5200,1171,13380,222,89.99,0.268,927,855,30.3,2.467,2.97,0.17,0.18,1.09,0.028,0.002,0.002,0.003,0.02,0.03,0.03,0.01,0.017,0.0038,0.3634,1.298366667,72
377,1324P82400,1LL025230500,364,470,28,AB/A,ZF4H6100,1149.5,13154,222,70,0.331,938,819,24.42,3.171,2.867,0.16,0.1,0.54,0.028,0,0,0.001,0.02,0.03,0.05,0.01,0.021,0.0063,0.265333333,0.7365,119
378,1325K13400,1LL025231300,375,466,33.5,AB/A,ZF4H6100,1229,13288,222,69.99,0.282,955,833,15,3.172,4.666,0.15,0.11,0.52,0.03,0,0,0.003,0.02,0.04,0.04,0.01,0.024,0.0155,0.250666667,0.716333333,122
379,1325K25500,1LL025231400,321,442,42.5,AB/A,ZF4H6100,1199,13377,222,74.99,0.232,1074,871,9.2,2.96,8.151,0.15,0.11,0.52,0.03,0,0,0.003,0.02,0.04,0.04,0.01,0.024,0.0155,0.250666667,0.716333333,203
380,1325K48500,1LL025232000,350,457,41,AB/A,ZF4H6100,1208,13265,222,70,0.33,978,838,14,3.171,5,0.16,0.09,0.53,0.021,0.001,0,0.001,0.02,0.03,0.04,0.01,0.02,0.0051,0.261666667,0.725666667,140
381,1325K48500,1LL025232200,328,446,34,AB/A,ZF4H6100,1208,13265,222,70,0.33,978,838,14,3.171,5,0.16,0.09,0.53,0.021,0.001,0,0.001,0.02,0.03,0.04,0.01,0.02,0.0051,0.261666667,0.725666667,140
382,1326M82400,1LL025271300,343,473,40,AB/A,ZF4H6100,1217,12899,264,69.99,0.254,1092,830,10.2,3.772,6.862,0.17,0.13,0.51,0.032,0,0,0.002,0.02,0.04,0.04,0.01,0.016,0.0044,0.269,0.727,262
