,实验屈服值,实验抗拉值,实验伸长率,0,1,2,3,4,5,6,7,8,9
0,299,456,35.5,2.94365396001895,0.3359482692400772,0.41626646503467496,0.062235403101894876,0.09410319486320892,0.2494356054974503,0.71123388643708,0.3173687526011763,-0.5841527359776071,-0.44988982840849634
1,301,444,40.0,0.7275491893750432,-0.9723162219664132,0.421199506748065,-0.263616560281576,1.4811483795495288,1.060106024194202,-1.7845821912350233,-0.9061220880457043,-0.1740864526281005,-0.5165870812786004
2,314,453,34.0,2.834956563516637,1.8854320854385385,1.078360237547056,0.09463894672898077,1.2479889598961136,-0.8291203441436222,-0.779931359518844,0.002710736253357573,0.7979055954313985,0.5328137855784133
3,270,439,36.0,4.300392586890395,0.05311151271464641,-0.5232969829878658,-0.9427148022030983,-1.0438937971486895,0.95070103638675,-0.11629080077420435,0.2748603413101241,0.45926796222930294,0.4942215128429831
4,313,455,38.5,-0.049710041100963616,-2.173512648630117,-0.13383554118663757,-0.3645870379963352,-0.40562051495071905,-0.8550170809143369,-0.44936773534456775,-1.0222351267314953,-0.388726174300343,0.05358214583732385
5,337,459,37.0,-0.23973725040508503,-2.2609371360830823,0.2634727682951226,-0.2772282393093226,-0.43876770362835443,-0.8252578317456436,-0.3811188387974342,-1.0827415984266158,-0.2480081147253746,0.0064071239035541315
6,334,455,36.5,0.17076403069649332,-1.8274779849791216,0.3524507736585168,0.7583802520697002,0.07709657512338305,-1.8346359060105053,-0.7438709617206682,-1.3984238378953058,0.4338803521954691,0.5117832802619615
7,293,439,33.5,1.8450194186405686,-0.9883682203321384,-1.296857591210348,0.6197032375953226,-0.4326890943370992,-1.7912417678102297,-0.7754830076212336,-1.451881027565357,0.06980200340385882,0.5033795135144157
8,291,431,35.0,1.7084608437262139,-1.0557300059527754,-1.3359983711276024,0.5326559013168356,-0.20327653525375997,-1.7737751774861865,-0.8872987434280439,-1.407580198577174,-0.05342114366820022,0.5243276013949202
9,339,453,35.0,0.24334210166044318,-0.8416099399869601,-0.1991590009897001,0.3143410366082866,0.42755542294260324,-1.0721760705725738,-0.4311533647925362,-0.06561528180235687,0.6401251177529054,0.4328424281715617
10,319,447,42.5,0.7355719557896114,-0.5728150552690757,-0.3511709038838566,0.375594802517488,0.12662025025186535,-1.111771647118519,-0.37901312522281144,-0.0905827283482929,0.8919080880532138,0.373655893880812
11,260,436,36.0,1.9183046823128191,-0.030554885889836646,-1.083346223823003,0.6195596673816914,-0.8038948256069314,-0.6826141571820354,-0.03794821731093474,-0.23707495163455922,0.7749351821748781,0.5794186492942491
12,324,466,28.0,0.7342385402632275,0.00028050351567671626,-2.0852881209258496,0.6312886213152745,-0.12351778196796523,0.5780947668235956,-0.6723653249726115,-0.06329206689050298,0.43964113096251606,-1.5429150162743586
13,336,450,42.0,-0.25794306811573314,-0.9752077492961746,3.847718746336174,0.6496673146542139,-3.573652983942956,-0.7300037828572044,1.6805868409024736,-2.673805175251758,2.090737974588271,-0.7223300213499813
14,306,438,37.0,-0.14051064682807962,-0.5618804398005092,-0.7576873646503921,-1.8887698515491733,0.7464020662968669,-0.8729329135937682,-1.4962064391143843,-0.1285313904398826,-0.2660329962426344,-0.3589893448878294
15,286,446,36.5,0.2639748163098465,0.8522850523492107,1.5186879427247097,0.059224669766521576,-0.03669251916941794,-1.5804406273343354,0.4641179961626493,0.5997682647708601,1.2503486328049456,0.32693523350590004
16,325,454,35.5,-0.5117799496790255,-0.47926344049838293,0.7567196038454886,-0.5714756225864598,-0.9863496766539307,-0.2103202191494219,-0.2981891607642829,-1.0313581473568518,-0.04010934623546275,-0.778917671572898
17,322,451,37.0,-0.5117799496790255,-0.47926344049838293,0.7567196038454886,-0.5714756225864598,-0.9863496766539307,-0.2103202191494219,-0.2981891607642829,-1.0313581473568518,-0.04010934623546275,-0.778917671572898
18,271,452,33.5,2.7026295144350105,1.1550052714669123,-0.8125431922782804,-0.3167599766147372,-1.6464974293490222,-0.044959262470345304,0.20282253614735452,-0.35763273392540057,0.07420711453472632,1.5085842471576734
19,350,468,33.5,-0.04336305327670737,-0.13362258117073808,0.5016221606536958,-1.0300892147415328,0.8368912840750549,-0.7483388473734369,-0.7775996855349954,0.21318487617224038,0.10825054688973045,1.4041862224854715
20,313,453,31.0,-0.036968877206000346,-1.1158808661075017,-0.5639268817901917,-1.069261203068424,-0.663314273836382,0.5491277163453041,0.17269681118798103,-0.06054519168515404,-1.0341233148469546,-0.6512905156685289
21,305,430,36.0,1.9000586347854318,-1.5741193782778768,-0.9587684489849924,-1.9770869039616472,-1.1374909126311379,-0.6157047973509253,0.8098543135569765,1.0848358727838874,-0.5184917794406916,0.5579127666164242
22,275,415,40.0,0.6599703639405579,-2.1750630736149237,0.2328214351109636,-1.9528420122961205,-0.5882812693537272,-0.6876828712979632,0.7480157304793338,1.076751192387319,-0.3531484537031677,0.4576456195142714
23,309,450,34.0,1.5457455124319588,-0.7399033266929325,-1.1597177629935742,0.03110543810313826,-0.10126256844328338,-1.736445927896737,-0.2711229114947088,-0.4855241549545635,-0.3636073825709017,-0.27493783464229066
24,321,456,35.5,1.4967995645953596,-0.7819298161000361,-0.8123145415179205,0.23605035655057943,-0.43178530869497506,-1.607702589694514,-0.0006756057873417848,-0.6216381921945965,-0.26752027205609413,-0.24496927667710983
25,311,445,33.0,1.2104997936289648,-0.9335500112535579,-0.8668406292393791,0.12242932777596985,-0.4665116505439904,-1.0295792926043952,-0.3339402584542854,-0.9771741371447779,-0.5416352784038063,1.0224463775775647
26,285,429,36.0,1.834748390869966,-0.6545501802991321,-1.3734168193432916,0.1684976088915497,-0.7806160117055736,-0.7607944028040483,-0.270371306360872,-1.009814862534572,-0.7294447420452818,1.1557155190502035
27,298,438,33.0,1.3444064866445782,-0.9157323286531855,-1.2763766017814029,0.4488633951526936,-0.41832246957070207,-0.5250815824118654,0.2708304119727866,-0.29874351504566593,-0.7048527720411091,-0.054722263624164894
28,296,426,37.0,1.4580240054102367,-0.8237974669183252,-1.5568775478299748,0.2580325160884706,-0.10452003890999387,-0.654743392527054,0.028823331012361328,-0.17426282933791176,-0.6853094850449173,-0.0824507030537619
29,302,438,51.0,-1.106916990917008,1.4603577414598987,4.370154465420866,0.6737006093346257,-3.1597647406701395,0.8748183121230475,2.1061658209539247,-1.1758441174078837,2.6867130113194677,-1.092343975509768
